Effect												
)												
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
_Iyear_1971	0.35	0.11	0.28	0.12					0.28	0.11	0.28	0.11
	[0.336]	[0.552]	[0.346]	[0.559]					[0.346]	[0.551]	[0.346]	[0.551]
_Iyear_1972	0.33	0.09	0.26	0.10					0.26	0.09	0.26	0.09
	[0.312]	[0.528]	[0.316]	[0.535]					[0.316]	[0.527]	[0.316]	[0.528]
_Iyear_1973	0.32	0.07	0.25	0.09					0.25	0.07	0.25	0.07
	[0.233]	[0.461]	[0.236]	[0.465]					[0.236]	[0.460]	[0.236]	[0.461]
_Iyear_1974	0.22	-0.02	0.16	-0.01	0.15	0.15	0.13	0.08	0.16	-0.02	0.16	-0.02
	[0.305]	[0.492]	[0.300]	[0.498]	[0.378]	[0.396]	[0.377]	[0.409]	[0.300]	[0.492]	[0.300]	[0.492]
_Iyear_1975	-0.03	-0.27	-0.09	-0.26					-0.09	-0.27	-0.09	-0.27
	[0.140]	[0.378]	[0.145]	[0.380]					[0.145]	[0.377]	[0.145]	[0.377]
_Iyear_1976	-0.01	-0.25	-0.07	-0.24					-0.07	-0.25	-0.07	-0.25
	[0.217]	[0.375]	[0.230]	[0.388]					[0.230]	[0.375]	[0.230]	[0.374]
_Iyear_1977	0.14	-0.10	0.08	-0.09					0.08	-0.10	0.08	-0.10
	[0.288]	[0.432]	[0.294]	[0.447]					[0.294]	[0.433]	[0.294]	[0.432]
_Iyear_1978	0.23	-0.01	0.17	0.00					0.17	-0.01	0.17	-0.01
	[0.375]	[0.462]	[0.381]	[0.474]					[0.381]	[0.463]	[0.381]	[0.462]
_Iyear_1979	0.55	0.33	0.49	0.33	0.15	0.15	0.13	0.08	0.49	0.33	0.49	0.33
	[0.551]	[0.638]	[0.537]	[0.640]	[0.342]	[0.360]	[0.341]	[0.371]	[0.537]	[0.639]	[0.537]	[0.639]
_Iyear_1980	0.30	0.07	0.24	0.07					0.24	0.07	0.24	0.07
	[0.433]	[0.520]	[0.418]	[0.522]					[0.418]	[0.520]	[0.418]	[0.520]
_Iyear_1981	0.29	0.07	0.24	0.07					0.24	0.07	0.24	0.07
	[0.434]	[0.548]	[0.423]	[0.550]					[0.423]	[0.549]	[0.423]	[0.549]
_Iyear_1982	0.11	-0.12	0.05	-0.12					0.05	-0.12	0.05	-0.12
	[0.313]	[0.401]	[0.293]	[0.402]					[0.293]	[0.401]	[0.293]	[0.401]
_Iyear_1983	-0.00	-0.23	-0.06	-0.23	0.27	0.27	0.25	0.20	-0.06	-0.23	-0.06	-0.23
	[0.316]	[0.431]	[0.304]	[0.432]	[0.316]	[0.336]	[0.315]	[0.355]	[0.304]	[0.431]	[0.304]	[0.431]
_Iyear_1984	-0.06	-0.29	-0.12	-0.29					-0.12	-0.29	-0.12	-0.29
	[0.249]	[0.399]	[0.234]	[0.400]					[0.234]	[0.399]	[0.234]	[0.399]
_Iyear_1985	0.10	-0.13	0.05	-0.13					0.05	-0.13	0.05	-0.13
	[0.319]	[0.308]	[0.308]	[0.309]					[0.308]	[0.308]	[0.308]	[0.308]
_Iyear_1986	0.09	-0.14	0.04	-0.14					0.04	-0.14	0.04	-0.14
	[0.312]	[0.359]	[0.301]	[0.360]					[0.301]	[0.360]	[0.301]	[0.360]
_Iyear_1987	0.15	-0.07	0.10	-0.07					0.10	-0.07	0.10	-0.07
	[0.430]	[0.415]	[0.429]	[0.416]					[0.429]	[0.415]	[0.429]	[0.415]
_Iyear_1988	0.13	-0.10	0.08	-0.10	0.25	0.25	0.23	0.18	0.08	-0.10	0.08	-0.10
	[0.340]	[0.345]	[0.342]	[0.346]	[0.269]	[0.285]	[0.270]	[0.302]	[0.342]	[0.345]	[0.342]	[0.345]
_Iyear_1989	0.47	0.25	0.43	0.25					0.43	0.25	0.43	0.25
	[0.552]	[0.305]	[0.561]	[0.307]					[0.561]	[0.305]	[0.561]	[0.305]
_Iyear_1990	0.36	0.13	0.31	0.13					0.31	0.13	0.31	0.13
	[0.423]	[0.230]	[0.425]	[0.232]					[0.425]	[0.230]	[0.425]	[0.230]
_Iyear_1991	0.50	0.28	0.46	0.28					0.46	0.28	0.46	0.28
	[0.595]	[0.252]	[0.591]	[0.252]					[0.591]	[0.252]	[0.591]	[0.252]
o._Iyear_1992		-		-						-		-
												
_Iyear_1993	0.13	0.11	0.06	0.12	0.52	0.53	0.48	0.48	0.06	0.11	0.06	0.11
	[0.367]	[0.373]	[0.368]	[0.372]	[0.316]	[0.320]	[0.313]	[0.314]	[0.368]	[0.373]	[0.368]	[0.370]
_Iyear_1994	0.08	0.06	0.01	0.07					0.01	0.06	0.01	0.06
	[0.322]	[0.335]	[0.301]	[0.301]					[0.301]	[0.335]	[0.301]	[0.332]
_Iyear_1995	-0.06	-0.07	-0.12	-0.06					-0.12	-0.07	-0.12	-0.07
	[0.336]	[0.347]	[0.316]	[0.325]					[0.316]	[0.347]	[0.316]	[0.347]
_Iyear_1996	-0.04	-0.05	-0.10	-0.04					-0.10	-0.05	-0.10	-0.05
	[0.344]	[0.357]	[0.322]	[0.321]					[0.322]	[0.357]	[0.322]	[0.356]
_Iyear_1997	-0.06	-0.08	-0.12	-0.06					-0.12	-0.08	-0.12	-0.08
	[0.264]	[0.259]	[0.256]	[0.248]					[0.256]	[0.260]	[0.256]	[0.259]
_Iyear_1998	0.26	0.24	0.19	0.25	0.56*	0.56*	0.52	0.52	0.19	0.24	0.19	0.24
	[0.459]	[0.471]	[0.438]	[0.438]	[0.297]	[0.303]	[0.295]	[0.295]	[0.438]	[0.471]	[0.438]	[0.469]
_Iyear_1999	0.22	0.20	0.16	0.21					0.16	0.20	0.16	0.20
	[0.713]	[0.718]	[0.701]	[0.710]					[0.701]	[0.717]	[0.701]	[0.716]
_Iyear_2000	1.12	1.11	1.07	1.12					1.07	1.11	1.07	1.11
	[1.300]	[1.300]	[1.295]	[1.304]					[1.295]	[1.300]	[1.295]	[1.302]
_Iyear_2001	0.20	0.18	0.14	0.19					0.14	0.18	0.14	0.18
	[0.887]	[0.890]	[0.887]	[0.895]					[0.887]	[0.890]	[0.887]	[0.888]
_Iyear_2002	0.18	0.16	0.12	0.17					0.12	0.16	0.12	0.16
	[0.518]	[0.522]	[0.514]	[0.525]					[0.514]	[0.521]	[0.514]	[0.524]
_Iyear_2003	-0.13	-0.13	-0.12	-0.13	0.49*	0.49*	0.49*	0.47*	-0.12	-0.13	-0.12	-0.13
	[0.541]	[0.541]	[0.547]	[0.542]	[0.252]	[0.257]	[0.255]	[0.264]	[0.547]	[0.541]	[0.547]	[0.541]
_Iyear_2004	0.58	0.58	0.59	0.58					0.59	0.58	0.59	0.58
	[0.884]	[0.884]	[0.887]	[0.884]					[0.887]	[0.884]	[0.887]	[0.884]
_Iyear_2005	0.13	0.13	0.15	0.13	0.51**	0.52**	0.51**	0.50*	0.15	0.13	0.15	0.13
	[0.497]	[0.497]	[0.497]	[0.492]	[0.217]	[0.222]	[0.218]	[0.228]	[0.497]	[0.497]	[0.497]	[0.497]
_Iyear_2006	-0.41	-0.41	-0.39	-0.41					-0.39	-0.41	-0.39	-0.41
	[0.415]	[0.415]	[0.419]	[0.418]					[0.419]	[0.415]	[0.419]	[0.415]
_Iyear_2007	-0.25	-0.25	-0.23	-0.25					-0.23	-0.25	-0.23	-0.25
	[0.536]	[0.536]	[0.532]	[0.528]					[0.532]	[0.537]	[0.532]	[0.537]
_Iyear_2008	-0.07	-0.07	-0.05	-0.07	0.51**	0.51**	0.47**	0.46**	-0.05	-0.07	-0.05	-0.07
	[0.314]	[0.314]	[0.312]	[0.311]	[0.183]	[0.191]	[0.190]	[0.197]	[0.312]	[0.314]	[0.312]	[0.314]
_Iyear_2009	-0.45*	-0.45*	-0.45*	-0.45*					-0.45*	-0.45*	-0.45*	-0.45*
	[0.232]	[0.232]	[0.233]	[0.233]					[0.233]	[0.232]	[0.233]	[0.232]
_Iyear_2010	-0.42**	-0.42**	-0.42**	-0.42**					-0.42**	-0.42**	-0.42**	-0.42**
	[0.192]	[0.192]	[0.192]	[0.192]					[0.192]	[0.192]	[0.192]	[0.192]
o._Iyear_2011	-	-	-	-					-	-	-	-
												
												
_Iyear_1992	0.23		0.18						0.18		0.18	
	[0.408]		[0.403]						[0.403]		[0.403]	
vp			0.54	1.46**			0.45***	0.94**	0.54		0.54	
			[0.497]	[0.566]			[0.127]	[0.335]	[0.497]		[0.497]	
vpMP				-1.44**				-0.64				
				[0.607]				[0.379]				
o._Iethnic_gr_2					-	-	-	-				
												
o._Iethnic_gr_3					-	-	-	-				
												
o._Iethnic_gr_4					-	-	-	-				
												
o._Iethnic_gr_5					-	-	-	-				
												
o._Iethnic_gr_6					-	-	-	-				
												
o._Iethnic_gr_7					-	-	-	-				
												
o._Iethnic_gr_8					-	-	-	-				
												
o._Iethnic_gr_9					-	-	-	-				
												
o._Iethnic_gr_10					-	-	-	-				
												
o._Iethnic_gr_11					-	-	-	-				
												
o._Iethnic_gr_12					-	-	-	-				
												
o._Iethnic_gr_13					-	-	-	-				
												
o.year					-	-	-	-				
												
_IethXyear_2					-0.00***	-0.00***	-0.00***	-0.00***				
					[0.000]	[0.000]	[0.000]	[0.000]				
_IethXyear_3					-0.06***	-0.06***	-0.06***	-0.06***				
					[0.000]	[0.000]	[0.000]	[0.000]				
_IethXyear_4					0.00**	0.00	0.00***	0.01**				
					[0.001]	[0.002]	[0.001]	[0.003]				
_IethXyear_5					-0.01***	-0.01***	-0.01***	-0.01***				
					[0.000]	[0.000]	[0.001]	[0.001]				
_IethXyear_6					-0.03***	-0.03***	-0.03***	-0.03***				
					[0.001]	[0.001]	[0.000]	[0.003]				
_IethXyear_7					-0.03***	-0.03***	-0.03***	-0.03***				
					[0.000]	[0.000]	[0.000]	[0.000]				
_IethXyear_8					0.01***	0.01***	0.01***	0.01***				
					[0.000]	[0.000]	[0.002]	[0.002]				
_IethXyear_9					-0.03***	-0.03***	-0.03***	-0.03***				
					[0.000]	[0.000]	[0.000]	[0.000]				
_IethXyear_10					0.01***	0.01***	0.01***	0.01***				
					[0.000]	[0.000]	[0.000]	[0.000]				
_IethXyear_11					-0.02***	-0.02***	-0.02***	-0.02***				
					[0.000]	[0.000]	[0.000]	[0.000]				
_IethXyear_12					0.01***	0.01***	0.01***	0.01***				
					[0.000]	[0.000]	[0.000]	[0.000]				
_IethXyear_13					-0.00***	-0.00***	-0.00***	-0.00***				
					[0.000]	[0.000]	[0.000]	[0.000]				
kllMP										0.20		
										[0.435]		
o.swing												-
												
swingMP												0.02
												[0.668]
												
Observations	2,009	2,009	2,009	2,009	169	169	169	169	2,009	2,009	2,009	2,009
Adjusted R-squared	0.112	0.119	0.114	0.126					0.114	0.119	0.114	0.119
R-squared					0.656	0.656	0.671	0.679				
Robust standard errors clustered at the district level in parentheses												
* significant at 10%; ** significant at 5%; *** significant at 1%												
